R_NanoG0446	R00341
R_NanoG0091	R00178
R_NanoG0240	R04380
R_NanoG1290	R06530
R_NanoG1502	R06604
R_NanoG0112	R06171
R_NanoG0376	R02568
R_NanoG0377	R02568
R_NanoG0378	R02568
R_NanoG0414	R01070
R_NanoG0415	R01070
R_NanoG0590	R01829
R_NanoG0338	R03277
R_NanoG0339	R02754
R_NanoG1094	R02464
R_NanoG0521	R01066
R_NanoG0139	R00751
R_NanoG0140	R00751
R_NanoG0141	R00751
R_NanoG0465	R00479
R_NanoG0208	R00986
R_NanoG0209	R00986
R_NanoG0531	R00409
R_NanoG1218	R01355
R_NanoG1348	R07263
R_NanoG1205	R05553
R_NanoG0264	R01360
R_NanoG1592	R00362
R_NanoG1335	R07281
R_NanoG1336	R07281
R_NanoG1580	R00132
R_NanoG1581	R00132
R_NanoG1591	R00132
R_NanoG0210	R03084
R_NanoG0603	R03546
R_NanoG0604	R07316
R_NanoG0095	R07392
R_NanoG0405	R00658
R_NanoG0406	R00658
R_NanoG0407	R00658
R_NanoG0808	R03026
R_NanoG0633	R04744
R_NanoG0841	R02685
R_NanoG0842	R02685
R_NanoG0843	R02685
R_NanoG0844	R04744
R_NanoG0845	R04744
R_NanoG0875	R04749
R_NanoG0876	R04746
R_NanoG0877	R04170
R_NanoG0878	R04740
R_NanoG0879	R04738
R_NanoG1177	R04204
R_NanoG1178	R04204
R_NanoG1179	R04204
R_NanoG1186	R04224
R_NanoG1187	R04224
R_NanoG1188	R04224
R_NanoG0158	R03457
R_NanoG0575	R01082
R_NanoG0135	R02722
R_NanoG0114	R01289
R_NanoG1278	R00036
R_NanoG0576	R01325
R_NanoG0577	R01900
R_NanoG0266	R03968
R_NanoG0267	R03968
R_NanoG0175	R04371
R_NanoG0300	R06513
R_NanoG0374	R00888
R_NanoG0196	R01373
R_NanoG0457	R03027
R_NanoG0677	R04965
R_NanoG0678	R04965
R_NanoG0679	R04568
R_NanoG0680	R04568
R_NanoG0681	R04544
R_NanoG0682	R04544
R_NanoG0683	R10208
R_NanoG0684	R10208
R_NanoG0742	R04537
R_NanoG0743	R04537
R_NanoG0744	R04954
R_NanoG0745	R04954
R_NanoG0746	R07764
R_NanoG0833	R04738
R_NanoG1303	R03165
R_NanoG1304	R03165
R_NanoG0322	R00293
R_NanoG0273	R04441
R_NanoG0274	R04441
R_NanoG0275	R05070
R_NanoG0276	R05070
R_NanoG0124	R01466
R_NanoG1204	R04286
R_NanoG0202	R03083
R_NanoG0050	R00671
R_NanoG0126	R00220
R_NanoG0110	R00221
R_NanoG0131	R00996
R_NanoG0023	R01086
R_NanoG1464	R04559
R_NanoG1525	R01083
R_NanoG0082	R00782
R_NanoG0083	R00179
R_NanoG1390	R03599
R_NanoG1391	R03599
R_NanoG0538	R02530
R_NanoG0089	R01286
R_NanoG1392	R04941
R_NanoG1393	R04941
R_NanoG1435	R05637
R_NanoG1508	R00434
R_NanoG1277	R00310
R_NanoG1258	R02864
R_NanoG0125	R00589
R_NanoG0513	R01529
